Thiết bị y tế,Kem đánh răng cho trẻ  Aquafresh Little Teeth 3 - 5 Tuổi 50ml,"45,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/kem-danh-rang-cho-tre-aquafresh-little-teeth-3-5-tuoi-50ml_00155.webp
Thiết bị y tế,Bàn chải đánh răng Aquafresh My Big Teeth 6 - 8 Tuổi,"45,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/ban-chai-danh-rang-aquafresh-my-big-teeth-6-8-tuoi_00456.webp
Thiết bị y tế,Kem đánh răng trẻ em Aquafresh My Big Teeth trên 6 Tuổi 50ml,"36,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/kem-danh-rang-tre-em-aquafresh-my-big-teeth-tren-6-tuoi-50ml_00124.webp
Thiết bị y tế,Bao cao su Sato Nhất Nhất 12 chiếc,"70,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/bao-cao-su-sato-nhat-nhat-12-chiec_00374.webp
Thiết bị y tế,Bao cao su Oleo Invisible Extra Thin 003 Hộp 3 cái,"40,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/bao-cao-su-oleo-invisible-extra-thin-003-hop-3-cai_00369.webp
Thiết bị y tế,Que Đè Lưỡi Gỗ Balac Wood Sticks Lạc Việt 100 cái,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/que-de-luoi-go-balac-wood-sticks-lac-viet-100-cai_00404.webp
Thiết bị y tế,Bao cao su Oleo Lampo Cooling hộp 10 cái,"90,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/bao-cao-su-oleo-lampo-cooling-hop-10-cai_00226.webp
Thiết bị y tế,"Miếng dán giảm đau xương khớp META, 5 Miếng",Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/mieng-dan-giam-dau-xuong-khop-meta-5-mieng_00693.webp
Thiết bị y tế,Xịt Diệt Khuẩn Biore Guard 5 lít (Sương siêu mịn),"598,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/xit-diet-khuan-biore-guard-5-lit-suong-sieu-min_00719.webp
Thiết bị y tế,Xịt Diệt Khuẩn Biore Guard 450ml (Sương siêu mịn),"105,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/xit-diet-khuan-biore-guard-450ml-suong-sieu-min_00261.webp
Thiết bị y tế,Xịt Diệt Khuẩn Biore Guard 150ml (Sương siêu mịn),"58,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/xit-diet-khuan-biore-guard-150ml-suong-sieu-min_00528.webp
Thiết bị y tế,Xịt Diệt Khuẩn Biore Guard 50ml (Sương siêu mịn),"28,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/xit-diet-khuan-biore-guard-50ml-suong-sieu-min_00397.webp
Thiết bị y tế,Antibacterial Hand Wash With Smart-Fit Biore 250ml,"49,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/antibacterial-hand-wash-with-smart-fit-biore-250ml_00796.webp
Thiết bị y tế,Antibacterial Foaming Hand Wash With Eucalyptus Fragrance Biore 200ml,"45,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/antibacterial-foaming-hand-wash-with-eucalyptus-fragrance-biore-200ml_00696.webp
Thiết bị y tế,Antibacterial Foaming Hand Wash With Eucalyptus Fragrance Biore 250ml,"89,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/antibacterial-foaming-hand-wash-with-eucalyptus-fragrance-biore-250ml_00572.webp
Thiết bị y tế,Máy đo huyết áp tự động Omron HEM-7142T1,"880,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/may-do-huyet-ap-tu-dong-omron-hem-7142t1_00500.webp
Thiết bị y tế,"Khẩu trang y tế 4 lớp Phamatech, 50 cái","45,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/khau-trang-y-te-4-lop-pharmatech-50-cai_00433.webp
Thiết bị y tế,Tràm Trà Nha Đam Fito Pharma 75ml,"55,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/tram-tra-nha-dam-fito-pharma-75ml_00770.webp
Thiết bị y tế,Bạc Hà Nha Đam Fito Pharma 75ml,"55,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/bac-ha-nha-dam-fito-pharma-75ml_00973.webp
Thiết bị y tế,Tăm Nước Kachi MK357,"790,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/tam-nuoc-kachi-mk357_00296.webp
Thiết bị y tế,Seakit Pure Nam Hà 30 gói + 1 bình pha,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/seakit-pure-nam-ha-30-goi-1-binh-pha_00462.webp
Thiết bị y tế,Quik Quik Dân Khang 1 que thử - Que thử thai,"8,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/quik-quik-dan-khang-1-que-thu-que-thu-thai_00397.webp
Thiết bị y tế,Găng tay y tế có bột Vglove size S Khải Hoàn Hộp 100 cái,"75,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/gang-tay-y-te-co-bot-vglove-size-s-khai-hoan-hop-100-cai_00740.webp
Thiết bị y tế,"Găng tay y tế Không bột Vglove, Hộp 100 cái ( Size S )","75,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/gang-tay-y-te-khong-bot-vglove-hop-100-cai-size-s_00856.webp
Thiết bị y tế,Relief Melts with CBD Foria 8 viên - Viên đặt CBD giảm đau kinh nguyệt,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/relief-melts-with-cbd-foria-8-vien-vien-dat-cbd-giam-dau-kinh-nguyet_00747.webp
Thiết bị y tế,Awaken Arousal Oil with CBD Foria 30ml - Dầu kích thích ham muốn phụ nữ,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/awaken-arousal-oil-with-cbd-foria-30ml-dau-kich-thich-ham-muon-phu-nu_00822.webp
Thiết bị y tế,Melts with CBD Foria 4 viên - Viên đặt kích thích ham muốn,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/melts-with-cbd-foria-4-vien-vien-dat-kich-thich-ham-muon_00797.webp
Thiết bị y tế,BD Ultra-Fine Pro Becton 0.23mm x 4mm - Đầu kim tiêm,"300,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/bd-ultra-fine-pro-becton-023mm-x-4mm-dau-kim-tiem_00442.webp
Thiết bị y tế,Wellgynax Alpha Hadiphar 7 viên - Viên đặt phụ khoa,"60,200 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/wellgynax-alpha-hadiphar-7-vien-vien-dat-phu-khoa_00872.webp
Thiết bị y tế,Cold Gel Starbalm 25ml - Dầu lạnh giảm đau nhanh chống,"55,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/cold-gel-starbalm-25ml-dau-lanh-giam-dau-nhanh-chong_00615.webp
Thiết bị y tế,Sieusat GS Medipharco 60ml - Dung dịch diệt khuẩn tay khô,"10,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/sieusat-gs-medipharco-60ml-dung-dich-diet-khuan-tay-kho_00177.webp
Thiết bị y tế,Gói Xông Thảo Dược Fobe Fobelife 36g - Giúp lưu thông đường huyết,"23,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/goi-xong-thao-duoc-fobe-fobelife-36g-giup-luu-thong-duong-huyet_00857.webp
Thiết bị y tế,Dr. Med DR-A061- Vớ điều trị suy tĩnh mạch ngang gối (Độ nén 15-20mmHg),"770,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/dr-med-dr-a061-vo-dieu-tri-suy-tinh-mach-ngang-goi-do-nen-15-20mmhg_00672.webp
Thiết bị y tế,Dr. Med DR-A061-2 - Vớ điều trị suy tĩnh mạch ngang gối (Độ nén 30-40mmHg),"1,150,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/dr-med-dr-a061-2-vo-dieu-tri-suy-tinh-mach-ngang-goi-do-nen-30-40mmhg_00890.webp
Thiết bị y tế,Dr. Med DR-A061-1 - Vớ điều trị suy tĩnh mạch ngang gối (Độ nén 20-30mmHg),"950,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/dr-med-dr-a061-1-vo-dieu-tri-suy-tinh-mach-ngang-goi-do-nen-20-30mmhg_00168.webp
Thiết bị y tế,Dr. Med DR-A060-2 - Vớ điều trị suy tĩnh mạch ngang gối (Độ nén 30-40mmHg),"750,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/dr-med-dr-a060-2-vo-dieu-tri-suy-tinh-mach-ngang-goi-do-nen-30-40mmhg_00261.webp
Thiết bị y tế,Dr. Med DR-A060-1 - Vớ điều trị suy tĩnh mạch ngang gối (Độ nén 20-30mmHg),"640,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/dr-med-dr-a060-1-vo-dieu-tri-suy-tinh-mach-ngang-goi-do-nen-20-30mmhg_00503.webp
Thiết bị y tế,Dr. Med DR-A060 - Vớ điều trị suy tĩnh mạch ngang gối (độ nén 15-20mmHg),"520,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/dr-med-dr-a060-vo-dieu-tri-suy-tinh-mach-ngang-goi-do-nen-15-20mmhg_00997.webp
Thiết bị y tế,Chỉ nha khoa Oral-B Essential Floss 50m - Giúp loại bỏ mảng bám trên răng,"57,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/chi-nha-khoa-oral-b-essential_00300.webp
Thiết bị y tế,Cardio Afib Pic Solution - Máy đo huyết áp,"2,200,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/cardio-afib-pic-solution-may-do-huyet-ap_00696.webp
Thiết bị y tế,Medisafe Solo HTL Strefa 200 cái - Kim lấy máu thử tiểu đường,"650,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/medisafe-solo-htl-strefa-200-cai-kim-lay-mau-thu-tieu-duong_00127.webp
Thiết bị y tế,Digitest Lancets Pic Solution 200 cái - Bộ lấy máu thử đường,"180,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/digitest-lancets-pic-solution-200-cai-bo-lay-mau-thu-duong_00935.webp
Thiết bị y tế,Pronto Digitest Pic Solution (25 kim + 25 miếng gạc) - Bộ lấy máu thử đường,"60,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/pronto-digitest-pic-solution-25-kim-25-mieng-gac-bo-lay-mau-thu-duong_00345.webp
Thiết bị y tế,Pic Gluco Test Pic Solution 50 que - Que thử đường huyết,"420,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/pic-gluco-test-pic-solution-50-que-que-thu-duong-huyet_00677.webp
Thiết bị y tế,Pic Gluco Test Pic Solution 25 que - Que thử đường huyết,"240,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/pic-gluco-test-pic-solution-25-que-que-thu-duong-huyet_00770.webp
Thiết bị y tế,Pic Gluco Test Kit Pic Solution - Máy đo đường huyết,"1,400,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/pic-gluco-test-kit-pic-solution-may-do-duong-huyet_00864.webp
Thiết bị y tế,Dropsafe 31g x 6mm - Kim tiêm,"1,300,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/dropsafe-31g-x-6mm-kim-tiem_00201.webp
Thiết bị y tế,Insumed 1ml 30g x 8mm Pic Solution - Kim tiêm,"150,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/insumed-1ml-30g-x-8mm-pic-solution-kim-tiem_00169.webp
Thiết bị y tế,"Insumed 1ml 30g x 12, 7mm Pic Solution - Kim tiêm","150,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/insumed-1ml-30g-x-12-7mm-pic-solution-kim-tiem_00512.webp
Thiết bị y tế,Insupen Or 32g x 8mm Pic Solution - Kim tiêm,"350,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/insupen-or-32g-x-8mm-pic-solution-kim-tiem_00301.webp
Thiết bị y tế,Insupen Or 32g x 6mm Pic Solution - Kim tiêm,"350,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/insupen-or-32g-x-6mm-pic-solution-kim-tiem_00816.webp
Thiết bị y tế,Insupen Or 33g x 4mm Pic Solution 100 cái - Kim tiêm,"350,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/insupen-or-33g-x-4mm-pic-solution-100-cai-but-tiem_00790.webp
Thiết bị y tế,WC- 150 B. Well - Máy hút mũi,"750,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/wc-150-b-well-may-hut-mui_00863.webp
Thiết bị y tế,Dexcom G6 CGM - Máy đo đường huyết tự động không cần lấy máu,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/dexcom-g6-cgm-may-do-duong-huyet-tu-dong-khong-can-lay-mau_00580.webp
Thiết bị y tế,GlucoWise - Máy đo đường huyết không cần lấy máu,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/glucowise-may-do-duong-huyet-khong-can-lay-mau_00884.webp
Thiết bị y tế,Omelon B2 - Máy đo đường huyết không cần lấy máu,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/omelon-b2-may-do-duong-huyet-khong-can-lay-mau_00836.webp
Thiết bị y tế,Gluco Track - Máy đo đường huyết không cần lấy máu,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/gluco-track-may-do-duong-huyet-khong-can-lay-mau_00225.webp
Thiết bị y tế,Eversense - Máy đo đường huyết không cần lấy máu,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/eversense-may-do-duong-huyet-khong-can-lay-mau_00943.webp
Thiết bị y tế,Omelon A1 - Máy đo đường huyết không cần lấy máu,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/omelon-a1-may-do-duong-huyet-khong-can-lay-mau_00756.webp
Thiết bị y tế,KG- 01 - Máy đo đường huyết không cần lấy máu,Liên hệ,Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/kg-01-may-do-duong-huyet-khong-can-lay-mau_00621.webp
Thiết bị y tế,FreeStyle Libre Abbott - Máy đo đường huyết không cần lấy máu,"3,360,000 đ",Nhà thuốc Minh Châu,https://cdn.famitaa.com/uploads/noidung/thumb/freestyle-libre-abbott-may-do-duong-huyet-khong-can-lay-mau_00771.webp
